id,playtime_forever,is_free,price,genres,categories,tags,purchase_date,release_date,total_positive_reviews,total_negative_reviews
0,0,FALSE,3700,"Adventure,Casual,Indie","Single-player,Steam Trading Cards,Steam Cloud","Indie,Adventure,Story Rich,Casual,Atmospheric,Exploration,First-Person,Stealth,Choices Matter,Singleplayer,Walking Simulator,Short,Drama","Jul 2, 2018",10-Dec-13,372,96
1,0.016666667,TRUE,0,RPG,"Single-player,Partial Controller Support","Mod,Utilities,RPG,Game Development,Singleplayer,Free to Play","Nov 26, 2016",12-Aug-15,23,0
2,0,FALSE,5000,"Adventure,Casual,Indie","Single-player,Full controller support,Steam Trading Cards,Steam Cloud","Point & Click,Adventure,Story Rich,Comedy,Indie,Funny,Kickstarter,Great Soundtrack,Singleplayer,Puzzle,Casual,Female Protagonist,2D,Masterpiece,Classic,Retro,Cult Classic,Crowdfunded,Episodic,Sci-fi","Jul 2, 2018",28-Jan-14,3018,663
3,1.533333333,FALSE,9900,"Action,RPG","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Medieval,RPG,Open World,Strategy,Sandbox,Action,Multiplayer,Moddable,Military,Adventure,Horses,Realistic,Singleplayer,First-Person,Historical,Third Person,Simulation,Hack and Slash,Fantasy,Indie","Nov 28, 2016",31-Mar-10,63078,1746
4,22.33333333,FALSE,4800,"Action,Indie,Strategy","Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Tower Defense,Co-op,Action,Strategy,Online Co-Op,Indie,Third Person,Fantasy,Multiplayer,Funny,Comedy,Third-Person Shooter,Singleplayer,Cartoony,RPG,Shooter,Adventure,Female Protagonist,Great Soundtrack,Controller","Mar 4, 2018",30-Jul-12,8841,523
5,2.933333333,FALSE,25800,RPG,"Single-player,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats","RPG,Open World,Survival,Co-op,Fantasy,Online Co-Op,Adventure,Local Co-Op,Singleplayer,Exploration,Split Screen,Souls-like,Third Person,Atmospheric,Violent,Multiplayer,Difficult,Resource Management,Realistic,Moddable","Mar 26, 2019",26-Mar-19,15270,3330
6,2.616666667,FALSE,3600,"Action,Indie","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Great Soundtrack,Action,Violent,Indie,Top-Down,1980s,Fast-Paced,Pixel Graphics,Gore,Psychedelic,Retro,Difficult,Singleplayer,Surreal,Shooter,2D,Addictive,Atmospheric,Music,Top-Down Shooter","Feb 16, 2018",23-Oct-12,39776,1035
7,0.15,TRUE,0,Simulation,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer","VR,Simulation,Utilities,Multiplayer","Jan 29, 2018",28-Apr-16,33,3
8,0.016666667,FALSE,4000,"Adventure,RPG","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","RPG,Turn-Based,Adventure,Fantasy,Great Soundtrack,Anime,Funny,Indie,Singleplayer,Comedy,JRPG,2D,Epic,Strategy,Turn-Based Combat,Action,Casual,Parody,Cats,Cute","Nov 23, 2018",25-Feb-14,1875,39
9,0.016666667,FALSE,8800,"Action,Adventure","Single-player,Steam Achievements,SteamVR Collectibles,Steam Cloud","Action,Adventure,VR,Shooter,Puzzle,FPS,First-Person","Dec 22, 2017",17-Oct-17,47,11
10,0,FALSE,6800,"Action,Adventure","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud","Action,Adventure,Hack and Slash,Third Person,Singleplayer,Post-apocalyptic,Fantasy,Controller,Action RPG,Puzzle,Action-Adventure,RPG,Open World,Gore,Beat 'em up,Metroidvania,Spectacle fighter,3D Platformer,Character Action Game,Platformer","Jan 30, 2018",23-Sep-10,5893,700
11,0,FALSE,2500,"Adventure,Indie,RPG,Strategy","Single-player,Steam Cloud","RPG,Post-apocalyptic,Classic,Turn-Based,Adventure,Strategy,Retro,Sci-fi,Indie,2D,Singleplayer,Old School,CRPG,Masterpiece,Pixel Graphics,Action,Open World,1980s,Great Soundtrack","Jun 23, 2017",13-Nov-13,148,35
12,0,TRUE,0,Action,"Single-player,Multi-player,Online Multi-Player,Steam Achievements,Partial Controller Support","Action,VR,Multiplayer","Jul 20, 2019",11-Dec-18,110,260
13,20.56666667,FALSE,3300,"Action,Adventure,Indie,RPG","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Action,Multiplayer,Adventure,Rogue-like,Co-op,RPG,Local Co-Op,Indie,Dungeon Crawler,2D,Beat 'em up,Rogue-lite,Replay Value,Hack and Slash,Difficult,Side Scroller,Loot,Action RPG,Pixel Graphics,Singleplayer","Oct 9, 2016",31-Aug-16,9659,1058
14,0.633333333,FALSE,5700,"Action,Casual,Indie,Simulation","Single-player,Local Multi-Player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Local Co-Op,Local Multiplayer,Co-op,Multiplayer,Family Friendly,4 Player Local,Casual,Funny,Co-op Campaign,Indie,Simulation,Action,Singleplayer,Cute,Colorful,Difficult,Great Soundtrack,Split Screen,Adventure,Memes","Jun 13, 2018",3-Aug-16,5871,551
15,0.016666667,TRUE,0,"Adventure,Simulation,Strategy","Single-player,Multi-player,Co-op,Valve Anti-Cheat enabled,Stats,Steam Leaderboards","Space,Simulation,Free to Play,Multiplayer,Online Co-Op,Funny,Strategy,Adventure,Open World,Memes,Walking Simulator,Co-op,Sandbox,Realistic,Comedy,Third Person,Massively Multiplayer,Singleplayer,First-Person,Puzzle","Sep 16, 2017",6-Jul-10,167,30
16,3.3,FALSE,6800,"Action,Adventure,Indie,RPG","Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","RPG,Action RPG,Hack and Slash,Co-op,Dungeon Crawler,Loot,Fantasy,Online Co-Op,Multiplayer,Action,Adventure,Singleplayer,Indie,Moddable,Character Customization,Isometric,Replay Value,Steampunk,Atmospheric,Cartoon","Jan 13, 2018",20-Sep-12,21566,1289
17,0,FALSE,11200,"Indie,Simulation","Single-player,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","Space,Simulation,Sandbox,Physics,Science,Space Sim,Building,Moddable,Indie,Education,Open World,Singleplayer,Exploration,Funny,Sci-fi,Adventure,Difficult,Replay Value,Strategy,Comedy","May 30, 2019",27-Apr-15,43103,4042
18,0,FALSE,11200,"Simulation,Strategy","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","Space,Strategy,Grand Strategy,Sci-fi,4X,Real-Time with Pause,Exploration,Multiplayer,RTS,Singleplayer,Replay Value,Great Soundtrack,Simulation,Moddable,Sandbox,Atmospheric,Open World,Story Rich,Building,Adventure","Feb 18, 2018",9-May-16,30934,7777
19,0,FALSE,3600,"Indie,Simulation,Strategy","Single-player,Multi-player,Steam Achievements,Steam Trading Cards,Steam Workshop","Strategy,Indie,Simulation,Space,Sci-fi,Moddable,Great Soundtrack","Dec 21, 2018",16-Apr-15,74,115
20,0.166666667,FALSE,6800,Racing,"Single-player,Multi-player,Steam Achievements,Partial Controller Support,Steam Cloud","Racing,Offroad,Motocross,Multiplayer,Sports,Singleplayer,Open World,Motorbike,ATV,Action,Simulation,Bikes,Moddable,Arcade","Jan 30, 2018",26-Nov-10,1122,248
21,1.616666667,FALSE,8800,"RPG,Strategy","Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud","Strategy,4X,Turn-Based,Turn-Based Strategy,Fantasy,Hex Grid,Multiplayer,Singleplayer,Great Soundtrack,RPG,Sci-fi,Indie,Tactical,Adventure,Grand Strategy,Medieval,Atmospheric,Open World,Exploration,Sandbox","Nov 28, 2016",18-Sep-14,8406,1780
22,0,FALSE,8800,"Action,Adventure,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Atmospheric,Psychological,Story Rich,Female Protagonist,Mythology,Singleplayer,Dark,Adventure,Third Person,Horror,Dark Fantasy,Action,Violent,Indie,Hack and Slash,Walking Simulator,Fantasy,Action-Adventure,Realistic,Blood","May 16, 2018",7-Aug-17,20437,1847
23,0.05,TRUE,0,"Casual,Indie","Single-player,Full controller support","Casual,Indie,VR,Free to Play","Nov 19, 2017",3-Jun-16,2,0
24,0,FALSE,12900,Strategy,"Single-player,Multi-player,Online Multi-Player,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","Strategy,Space,Sci-fi,4X,Multiplayer,Turn-Based Strategy,Turn-Based,Grand Strategy,Great Soundtrack,Singleplayer,Action,Open World,War,Atmospheric,Moddable,Co-op,Sandbox,RTS,RPG,Indie","Apr 2, 2019",18-May-17,6812,1458
25,0,FALSE,9900,RPG,Single-player,"RPG,Sci-fi,Story Rich,Third-Person Shooter,Action,Space,Singleplayer,Great Soundtrack,Adventure,Choices Matter,Cinematic,Masterpiece,Third Person,Shooter,Romance,Character Customization,Female Protagonist,Atmospheric,Action RPG,Real-Time with Pause","May 9, 2018",28-Jan-10,9566,517
26,0.216666667,FALSE,1500,"Adventure,Indie,RPG,Simulation","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Choices Matter,Medieval,Card Game,Indie,Choose Your Own Adventure,Singleplayer,RPG,Adventure,Simulation,Strategy,Casual,Comedy,Dark Humor,Fantasy,Story Rich,Funny,2D,Great Soundtrack,Difficult,Touch-Friendly","Dec 9, 2017",11-Aug-16,5001,597
27,0,FALSE,4800,Adventure,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Commentary available","Adventure,Point & Click,Classic,Comedy,Story Rich,Noir,Cult Classic,Great Soundtrack,Singleplayer,Remake,Puzzle,Atmospheric,Retro,Funny,Masterpiece,Dark Humor,1990's,Third Person,Indie,Difficult","Jun 27, 2019",26-Jan-15,3457,372
28,0,FALSE,4800,"Indie,Simulation,Strategy","Single-player,Multi-player,Steam Trading Cards","Strategy,Simulation,Indie,Sci-fi,Space,2D,Sandbox,Building,Singleplayer,Moddable,Multiplayer","Dec 21, 2018",16-Nov-09,329,73
29,4.216666667,FALSE,6800,"Action,Indie","Single-player,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV","Difficult,Cartoon,Great Soundtrack,Platformer,Co-op,Hand-drawn,2D,Local Co-Op,Retro,Indie,Cartoony,Action,Bullet Hell,Multiplayer,Shoot 'Em Up,Side Scroller,Colorful,Singleplayer,Funny,Atmospheric","Oct 2, 2017",29-Sep-17,36322,1542
30,4.266666667,FALSE,6800,"Adventure,RPG,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Captions available,Steam Cloud","RPG,Story Rich,Classic,Party-Based RPG,Dark Fantasy,Isometric,CRPG,Adventure,Choices Matter,Fantasy,Atmospheric,Singleplayer,Great Soundtrack,Strategy,Masterpiece,Dungeons & Dragons,Tactical RPG,Philisophical,Cult Classic,Real-Time with Pause","Dec 10, 2017",11-Apr-17,1270,73
31,4.333333333,FALSE,7000,"Action,Adventure,Indie,RPG","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Rogue-lite,Pixel Graphics,Rogue-like,RPG,Multiplayer,Action,Indie,Co-op,Funny,Early Access,Adventure,Stealth,Local Co-Op,Great Soundtrack,2D,Procedural Generation,Online Co-Op,Violent,Gore,Shooter","Mar 18, 2018",12-Jul-19,4640,212
32,2.1,FALSE,7000,"Casual,Simulation,Sports","Single-player,Online Multi-Player","Sports,Tennis,Simulation,Casual,VR","Feb 28, 2018",22-Sep-16,1107,64
33,0.916666667,FALSE,4300,"Indie,Simulation","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Programming,Simulation,Education,Puzzle,Building,Sandbox,Science,Indie,Investigation,Underground,Dynamic Narration,Transhumanism,Intentionally Awkward Controls,Cats","Jul 2, 2018",17-Jan-19,1887,179
34,0,FALSE,4000,"Indie,Simulation,Strategy","Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Simulation,Choices Matter,Multiple Endings,Strategy,Pixel Graphics,Nudity,2D,Singleplayer,Funny,Sexual Content,Story Rich,Dystopian,Horror,Puzzle,Mature,Dark Humor,Atmospheric,Resource Management","Oct 23, 2018",23-Oct-18,1663,153
35,2.85,FALSE,9500,"Action,Adventure","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards","Story Rich,Third-Person Shooter,Action,Atmospheric,Psychological,Singleplayer,Third Person,War,Shooter,Dark,Multiplayer,Adventure,Emotional,Political,Military,Mature,Great Soundtrack,Masterpiece,Based On A Novel,Post-apocalyptic","Mar 17, 2017",28-Jun-12,17071,1218
36,56.66666667,FALSE,12900,"Action,Adventure,Massively Multiplayer,RPG,Simulation,Strategy","Single-player,Multi-player,Online Multi-Player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop","Survival,Open World,Building,Crafting,Nudity,Multiplayer,Sandbox,RPG,Massively Multiplayer,Action,Violent,Adventure,Exploration,Online Co-Op,Gore,PvP,Co-op,Singleplayer,Fantasy,Early Access","Dec 8, 2017",8-May-18,18644,7748
37,0,FALSE,10000,Simulation,"Single-player,Steam Achievements,Steam Workshop","Simulation,Management,Economy,Trains,Strategy,Building,Singleplayer,Sandbox,City Builder,Open World,Moddable,Realistic,Resource Management,Transportation,Driving,Indie,Flight,Relaxing,Adventure,Multiplayer","Jun 27, 2019",8-Nov-16,4328,1223
38,4.516666667,FALSE,4800,"Action,Adventure,Indie,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards","Horror,Survival,Survival Horror,Atmospheric,Top-Down,Dark,Indie,RPG,Open World,Adventure,Lovecraftian,Exploration,Singleplayer,Action,Crafting,Rogue-like,Inventory Management,Building,Gore,Psychological Horror","Nov 28, 2017",17-Aug-17,4109,253
39,3.083333333,FALSE,4800,"Action,Adventure,Casual,Indie","Single-player,Multi-player,Online Multi-Player,Local Multi-Player,Co-op,Online Co-op,Local Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV","Comedy,Co-op,Funny,Platformer,Multiplayer,Local Co-Op,Adventure,Indie,2D,Action,Great Soundtrack,Cats,Online Co-Op,Puzzle,Casual,Level Editor,Local Multiplayer,Masterpiece,Singleplayer,Difficult","Nov 22, 2016",15-May-14,36408,1063
40,0,FALSE,6800,Adventure,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Anime,Detective,Visual Novel,Mystery,Story Rich,Great Soundtrack,Singleplayer,Psychological Horror,Adventure,Dark Comedy,Horror,Atmospheric,Puzzle,Memes,Dark,Comedy,Dating Sim,Funny,Mature,Walking Simulator","Nov 22, 2018",18-Apr-16,5163,182
41,1.7,FALSE,7000,"Action,Adventure,Indie","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Puzzle,Exploration,First-Person,Metroidvania,Puzzle-Platformer,Indie,Action,Singleplayer,Open World,Cute,Sandbox,Colorful,FPS,3D Platformer,Funny,Multiplayer,Co-op","Jun 27, 2019",5-Apr-19,2268,82
42,11.51666667,FALSE,9000,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Medieval,RPG,Open World,Realistic,Singleplayer,Historical,First-Person,Story Rich,Adventure,Swordplay,Choose Your Own Adventure,Choices Matter,Action,Atmospheric,Nudity,Horses,Great Soundtrack,Kickstarter,Indie,Crowdfunded","Mar 29, 2018",13-Feb-18,24505,7766
43,6.5,FALSE,4900,"Sexual Content,Violent,Adventure,Indie,Strategy","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Strategy,Management,Story Rich,Crime,Choices Matter,Singleplayer,Indie,Simulation,Noir,Atmospheric,Adventure,Detective,Mature,Great Soundtrack,Political,Sexual Content,Violent,Visual Novel,Kickstarter,Nudity","Nov 28, 2016",2-Aug-16,4760,925
